id,expect_trigger,expected_diagram,prompt
explicit-01,true,flowchart,"$walkthrough how does the walkthrough skill itself work"
explicit-02,true,erDiagram,"$walkthrough explain the data model and node structure"
explicit-03,true,flowchart,"$walkthrough architecture overview of this project"
implicit-01,true,flowchart,"walk me through how the HTML generation works in this codebase"
implicit-02,true,flowchart,"explain this flow: how does a user prompt become a diagram"
implicit-03,true,flowchart,"how does the subagent exploration work step by step"
implicit-04,true,erDiagram,"visualize the data model for the walkthrough nodes"
implicit-05,true,flowchart,"trace the code path from user prompt to rendered HTML"
diagram-lr,true,flowchart,"$walkthrough show the skill pipeline from prompt to HTML left to right"
diagram-er,true,erDiagram,"$walkthrough show the data structures and their relationships"
negative-01,false,none,"refactor the SKILL.md to use clearer headings"
negative-02,false,none,"write unit tests for the zoom controls"
negative-03,false,none,"fix the bug in the MermaidDiagram click handler"
edge-01,true,any,"$walkthrough"
